timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
147194821,147193959,0.0011959076,0.052871943,0.20916589,0.031295776,-0.024475098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28469086,0.0,0.0,nan,0.0,0.0,-0.01134479,-0.006161526,0.015681371,-0.001245141,0.0,0.0,0.0,0.0,0.0
147695062,147694194,0.013673782,0.11687827,0.1524397,0.043518066,-0.059631348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11032486,0.0,0.0,nan,0.0,0.0,-0.0045313835,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
148194831,148193990,-0.04361248,0.1302681,0.24219938,0.04963684,-0.023147583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30919266,0.0,0.0,nan,0.0,0.0,0.009537458,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
148694656,148693688,-0.018519402,0.16363716,0.15045762,0.021560669,0.016738892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24406433,0.0,0.0,nan,0.0,0.0,0.048021078,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
149199192,149198322,-0.07083464,0.17912221,0.15728535,0.033081055,0.028442383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31480026,0.0,0.0,nan,0.0,0.0,0.02709794,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
149698367,149697485,-0.012270451,0.25916183,0.21158355,0.028045654,0.11897278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09970474,0.0,0.0,nan,0.0,0.0,-0.085442066,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
150195237,150194381,0.03928852,0.30214703,0.10667214,0.014526367,0.14883423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34069824,0.0,0.0,nan,0.0,0.0,-0.15478873,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
150695064,150694207,0.14387798,0.34658396,0.12460249,0.04298401,0.14486694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30825806,0.0,0.0,nan,0.0,0.0,-0.012231588,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
151195138,151194273,0.15126753,0.36016643,0.10976454,0.0541687,0.14523315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29675293,0.0,0.0,nan,0.0,0.0,0.029236794,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
151698444,151697700,0.10703993,0.38622022,0.041803584,0.006668091,0.22151184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07084274,0.0,0.0,nan,0.0,0.0,0.013444185,-0.015870407,0.011091724,-0.0071367025,0.0,0.0,0.0,0.0,0.0
