timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
257217279,8105.0195,31.750011,0,133,3882,65536,0,3,239
258218459,8145.284,31.783089,0,133,587,65536,0,3,239
259219287,8178.413,31.788218,0,133,3934,65536,0,3,239
260220277,8216.677,31.81317,0,133,1683,65536,0,3,239
261221272,8253.438,31.83213,0,133,2130,65536,0,3,239
262222360,8289.124,31.846802,0,133,2970,65536,0,3,239
263223310,8324.045,31.858452,0,133,3422,65536,0,3,239
264224276,8360.857,31.877226,0,133,3240,65536,0,3,239
265225276,8400.406,31.90624,0,133,790,65536,0,3,239
266226270,8437.924,31.927353,0,133,753,65536,0,3,239
267227273,8472.4,31.936842,0,133,3650,65536,0,3,239
268228278,8512.0,31.965496,0,134,1661,65536,0,3,239
269229269,8549.197,31.984953,0,136,2860,65536,0,3,239
