timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
58674282,2.8801052e-05,0.00013450895,0.00012628612,0.0
58878591,0.0013009127,0.00015382386,0.00021485568,0.0
59078515,-0.00023021673,8.445937e-05,0.0003203744,0.0
59274581,0.0009182549,5.240894e-05,9.9671044e-05,0.0
59474734,-0.00017093291,0.0001950795,3.4611607e-05,0.0
59669990,0.00021801403,-0.00040362353,-3.7702182e-05,0.0
59878536,0.00017678601,0.0001788271,-0.00020490539,0.0
60078577,0.0001969155,0.00018572886,-0.0002326976,0.0
60278569,-0.0004988773,-0.0001220292,-0.00041811404,0.0
60474851,0.0003123541,5.3716936e-05,-0.00012539525,0.0
60674952,-5.055989e-05,0.00020378016,0.00017120036,0.0
60874727,-0.00018318673,-0.00096943794,-6.116566e-05,0.0
61074766,-8.059766e-05,0.000109627,-1.2578564e-05,0.0
61278787,-0.00057121617,-0.0008634797,0.00027259288,0.0
61478885,-0.0007909771,-0.00047297473,0.00027157852,0.0
61678309,0.0019904627,-0.0015442894,1.0416944e-05,0.0
61874804,0.00022507136,-0.00037950216,-2.6165122e-05,0.0
62078211,0.0061259908,-0.003139092,-0.0001503698,0.0
62274405,0.008845415,-0.0006961784,-0.00032371536,0.0
62474256,0.0060197464,-0.00084919424,-9.060114e-05,0.0
62678207,0.00082446175,0.0006925736,6.909394e-05,0.0
62879070,0.0030768437,0.00072509,0.0003394372,0.0
63078864,0.001392872,0.00030402743,-1.8219711e-06,0.0
63274461,0.0018904954,0.00072862813,0.00014071871,0.0
63474435,0.001235641,0.0007657177,-6.563531e-05,0.0
63674764,0.0016600795,0.0011916449,-0.00014885017,0.0
63874980,0.0006054866,-4.0408024e-05,4.364595e-05,0.0
64078713,0.00086186494,0.00080415263,-0.00021627547,0.0
64279002,0.0001594753,-7.6414624e-05,0.00059328834,0.0
64478883,0.00047676315,-0.00033601144,0.00014804704,0.0
64678250,0.0008132833,0.0009271796,0.00016153621,0.0
64875020,8.296688e-05,5.5441164e-05,-1.2686628e-05,0.0
65075152,0.0006818631,0.0002424279,-0.00013716608,0.0
65274381,0.00010185576,-7.028941e-05,4.7501628e-05,0.0
65478787,0.00081231474,0.0005621205,0.00017666884,0.0
65679079,0.00020998067,0.00045416114,-0.00026074392,0.0
65874607,0.00013027953,0.00027573513,-3.9341307e-06,0.0
66074484,-0.00017325403,1.742212e-05,0.0001643026,0.0
66274372,-6.886441e-05,0.0009180107,-0.00030931155,0.0
66475264,2.4431938e-05,-0.00010358823,-0.00033039466,0.0
66674771,0.000541831,0.00010890311,8.87046e-05,0.0
66874752,-0.000328288,0.00027262652,0.00034591736,0.0
67079130,0.00041764675,-0.0004886096,-7.772463e-05,0.0
67278918,-0.00034807486,0.0003102051,-4.2691994e-05,0.0
67478678,-0.00010566262,-0.0001293143,4.785646e-05,0.0
67674690,-7.4770025e-05,-8.2066734e-05,-5.8376387e-05,0.0
67874375,0.00010337906,-0.0007590852,-0.00016631886,0.0
68074640,-0.00089835504,-0.0004563231,0.00012695363,0.0
68278610,0.00019714402,-2.8999197e-05,0.00016562629,0.0
68479222,-6.929367e-05,-0.0004869162,0.00019238696,0.0
68674719,-0.000379383,-0.00016511402,0.000262598,0.0
68874602,-8.030575e-05,0.00010675489,0.00017336529,0.0
69074948,-0.0003553333,-0.0006487826,0.00033722317,0.0
69275190,-1.27067615e-05,0.00043506204,0.0005885725,0.0
69474516,6.108774e-06,-7.2456765e-05,0.00032283392,0.0
69679419,-0.00053691363,-0.00031136165,2.4883826e-05,0.0
69879074,0.0009183708,0.00032065017,-8.543877e-05,0.0
70079044,-0.00011373378,0.0001462622,2.3416804e-05,0.0
70278704,-0.0006125682,0.00048201537,9.952372e-05,0.0
70475413,0.00023272983,-0.0002588851,0.0003552749,0.0
70675386,-0.00042338233,0.00067475624,7.9260215e-05,0.0
70875262,-0.00029366295,-0.00043005112,2.340887e-05,0.0
71078460,8.842159e-05,-0.00014820571,-0.0001565138,0.0
