timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
34002466,34001785,9.365536e-08,0.00038769326,0.011887257,0.0018530206,0.022289068,0.03172615,531,0,0.44263896,0.7341714,0.019101629,nan,nan,0.008603698,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
34194707,34194011,8.717672e-08,0.00037190938,0.009977322,0.0023064702,0.0240529,0.034095574,531,0,0.42745015,0.72748345,0.055857886,nan,nan,0.0029889082,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
34402299,34401608,7.9211134e-08,0.00034479,0.00764385,0.002587578,0.02574895,0.036260895,531,0,0.42428893,0.7253699,0.071283676,nan,nan,0.008174053,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
34594852,34594105,7.864903e-08,0.00033206312,0.0064824075,0.0019806079,0.02978437,0.039489128,531,0,0.41550094,0.71486187,0.066997,nan,nan,0.0040385723,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
34802804,34802048,7.92586e-08,0.0003210661,0.0057950006,0.0038240647,0.03133953,0.035542108,531,0,0.4178234,0.7103857,0.026360596,nan,nan,0.013633405,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
34997695,34997009,8.047193e-08,0.0003559613,0.0076971864,0.0030408949,0.037056793,0.04420124,531,0,0.4142228,0.7161085,0.018525764,nan,nan,0.00027734763,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
35194887,35194016,7.597703e-08,0.00034104363,0.006037203,0.0030188058,0.040927827,0.045305986,531,0,0.4141115,0.71075195,0.020793231,nan,nan,0.0038574806,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
35394827,35394017,7.069826e-08,0.00033721185,0.004967513,0.0034062515,0.04222008,0.04609863,531,0,0.41374877,0.70665675,0.027891286,nan,nan,0.0026103803,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
35598423,35597725,6.692569e-08,0.00032882602,0.004687991,0.0026128674,0.041630287,0.047984973,531,0,0.41252688,0.7039901,0.004728051,nan,nan,0.0012393069,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
35794646,35793888,6.6450625e-08,0.00031865042,0.004883552,0.0009650475,0.010800593,0.024639754,531,0,0.50346357,0.7027411,0.020513115,nan,nan,0.009951347,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
36002508,36001863,7.089504e-08,0.00032776195,0.004238141,0.002087839,0.010020996,0.025989871,531,0,0.49982998,0.7057692,0.047459416,nan,nan,0.008675771,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
36198316,36197740,6.928585e-08,0.00032530265,0.004416828,0.0012675165,0.011026707,0.02892007,531,0,0.4842264,0.71875715,0.023125524,nan,nan,0.002769169,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
36402449,36401878,7.585489e-08,0.00033693414,0.004761841,0.0025023331,0.008961357,0.024599202,531,0,0.47762126,0.7245537,0.0033925804,nan,nan,0.0033781133,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
36593889,36593318,7.4932736e-08,0.00033736002,0.005254975,0.0008578754,0.004748847,0.012588104,531,0,0.4617082,0.7244012,0.0709787,nan,nan,0.0021665513,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,229,1,0,1,0,2,0,0,0,0,0,0,0
36794503,36793797,6.7537556e-08,0.00032327443,0.0043593417,0.0006542071,0.011414743,0.026226487,535,0,0.36396566,0.7182555,0.047888223,1.1754944e-38,1.1754944e-38,0.0028517735,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
37002479,37001901,7.130822e-08,0.0003322792,0.004005165,0.000272217,0.027420579,0.04523387,535,0,0.2968727,0.6665666,0.09572049,0.023108719,0.0051601077,0.01788837,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
37198515,37197803,7.37743e-08,0.00032484997,0.0045229755,0.0035408447,0.034801584,0.053036064,535,0,0.2585186,0.635147,0.011362683,0.049382478,0.022176476,0.0019935297,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
37394837,37394047,6.921748e-08,0.00031383923,0.004946545,0.005031028,0.030957665,0.056827493,535,0,0.23433496,0.59126383,0.07191492,0.027810652,0.019453706,0.0071886587,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
37594681,37594044,8.3212015e-08,0.00033852013,0.00431795,0.0016267699,0.030277407,0.046106163,535,0,0.21769829,0.57016504,0.11051341,0.03959161,0.008854237,0.0037638661,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
37797992,37797419,7.945866e-08,0.0003333361,0.004789818,0.0027409133,0.035187434,0.04690182,535,0,0.20588794,0.54471064,0.05256766,0.031121539,0.02695252,0.0019262346,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
37994117,37993431,8.416393e-08,0.00034754683,0.004229935,0.003176639,0.036839735,0.037231114,535,0,0.1973644,0.52270937,0.05588832,0.05552885,0.013030071,0.007721165,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
38202230,38201668,8.2135976e-08,0.0003401178,0.0049850848,0.0030708348,0.019644152,0.02561095,535,0,0.19184597,0.504085,0.03996782,0.03287599,0.013915852,0.011223516,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
38394730,38394093,8.134501e-08,0.00032855198,0.0047846963,0.0011012537,0.01812483,0.028247366,535,0,0.18652876,0.48667672,0.02412926,0.025425404,0.004760552,4.036677e-05,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
38602964,38602214,7.87931e-08,0.00032118562,0.005806076,0.002390668,0.015072268,0.028318083,535,0,0.18391037,0.47250277,0.11688637,0.03889255,0.014997413,0.0018415066,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
38798276,38797696,7.8571276e-08,0.00033246874,0.0063183117,0.001967011,0.011649209,0.020477416,535,0,0.18049973,0.4628579,0.024058437,0.028217664,0.011521168,0.0072082626,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
38994522,38993837,7.6812356e-08,0.00034828603,0.0055085584,0.0017536237,0.016173247,0.027281446,535,0,0.17854293,0.45103043,0.0039052954,0.033709552,0.013446186,0.0067508584,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
39202377,39201794,8.181997e-08,0.00034130467,0.0049370397,0.0013653169,0.01698337,0.018413784,535,0,0.1779192,0.44112512,0.026945958,0.014252577,0.00740301,0.007358201,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
39402007,39401427,7.7421305e-08,0.00032955702,0.004562422,0.0007419343,0.015033449,0.020960364,535,0,0.17676029,0.4317291,0.031132888,0.024321767,0.011570462,0.0023806812,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
39594866,39594124,8.47659e-08,0.00034387354,0.0050600283,0.0017263052,0.007350316,0.013040337,535,0,0.17406157,0.42214024,0.042395733,0.028735554,0.017540378,0.0017975632,0.0,0.0,0.0,0.0,1310988,1310988,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
