timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
97756745,97756162,40.15512677474343,116.25947467286983,99.68224,99.68603,-0.0,0.3432614,0.5207008,nan,2,0,0,0
98753511,98751653,40.15514559427182,116.25947496879877,99.670074,99.669304,-0.0,0.34331033,0.520851,nan,2,0,0,0
99756890,99756313,40.15515585571102,116.2594909593546,99.61745,99.614456,-0.0,0.34347174,0.5212223,nan,2,0,0,0
100754364,100752466,40.15516360053431,116.25953282937236,99.586426,99.57572,-0.0,0.34333453,0.5209341,nan,2,0,0,0
101752769,101752190,40.15517630320721,116.25958947855374,99.502464,99.487785,-0.0,0.34374914,0.52098966,nan,2,0,0,0
102758300,102756427,40.15518916928946,116.25964559500503,99.53447,99.512,-0.0,0.3439482,0.5210429,nan,2,0,0,0
103750165,103748295,40.15520208412773,116.2597019111757,99.58274,99.556274,-0.0,0.34365976,0.52088106,nan,2,0,0,0
104757074,104756325,40.155215364368786,116.25975873126029,99.6013,99.574905,-0.0,0.34400663,0.52068734,nan,2,0,0,0
105756536,105755971,40.15522843188408,116.25981511276188,99.60336,99.58055,-0.0,0.34325364,0.5205115,nan,2,0,0,0
106752942,106752371,40.155240793333334,116.25987450411299,99.4745,99.45213,-0.0,0.34300894,0.52068126,nan,2,0,0,0
107748759,107748063,40.15525479461816,116.2599297363586,99.47551,99.450775,-0.0,0.34277534,0.52081937,nan,2,0,0,0
108757254,108756680,40.1552692949669,116.25998483684606,99.50375,99.47466,-0.0,0.34280622,0.52100295,nan,2,0,0,0
109757319,109756570,40.15528223598995,116.26004084246907,99.52543,99.49573,-0.0,0.34312752,0.52053714,nan,2,0,0,0
110749462,110748876,40.155294715907424,116.260096947576,99.53969,99.51235,-0.0,0.34273547,0.52041197,nan,2,0,0,0
111752726,111752034,40.1553075326807,116.26015393094845,99.55359,99.52571,-0.0,0.3424365,0.52031153,nan,2,0,0,0
112757242,112756676,40.155321040354785,116.26021120323784,99.584,99.55956,-0.0,0.34271708,0.5208194,nan,2,0,0,0
113753705,113753012,40.155334022162556,116.26026713784762,99.595116,99.57017,-0.0,0.3426563,0.52103156,nan,2,0,0,0
114753162,114752527,40.15534715681634,116.2603226307119,99.59834,99.56805,-0.0,0.34265912,0.5202701,nan,2,0,0,0
115757003,115756363,40.155359188157334,116.26037726921898,99.15767,99.12763,-0.0,0.3427231,0.5207224,nan,2,0,0,0
116749727,116749128,40.155365825506216,116.26042125627531,95.07749,95.067955,-0.0,0.3415589,0.520261,nan,2,0,0,0
117749292,117748703,40.155369174971526,116.26045906291748,88.754684,88.78978,-0.0,0.34154502,0.52076405,nan,2,0,0,0
118753436,118752862,40.155370067428485,116.26049397400878,81.08258,81.1673,-0.0,0.3415165,0.5209284,nan,2,0,0,0
119753621,119752963,40.155369811191626,116.2605256683625,71.84248,71.98086,-0.0,0.3416022,0.52015924,nan,2,0,0,0
120754334,120752451,40.15537116766505,116.26055306983574,62.359497,62.54688,-0.0,0.34175202,0.5212468,nan,2,0,0,0
121746793,121744616,40.1553794920488,116.26056595660802,55.71868,55.922432,-0.0,0.34200138,0.52069294,nan,2,0,0,0
122759181,122757312,40.155386964429475,116.26057576462858,51.764297,51.95458,-0.0,0.3432576,0.5207252,nan,2,0,0,0
123758983,123757103,40.155386872195265,116.26057755612216,53.45753,53.586277,-0.0,0.34322545,0.51982236,nan,2,0,0,0
124754603,124752619,40.15539094812406,116.26057231259666,56.230694,56.28536,-0.0,0.34290498,0.5191273,nan,2,0,0,0
125749700,125748988,40.15540215039252,116.26057280546551,58.852856,58.853573,-0.0,0.3423957,0.51759297,nan,2,0,0,0
