timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
113334351,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
113841449,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
114352793,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
114860321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
115364366,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
115873588,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
116378947,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
116880319,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
117385590,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
117889723,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
118397364,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
118907319,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
119415391,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
119921548,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
120430697,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
120933354,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
121440047,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
121942587,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
122444351,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
122947319,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
123453698,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
123957724,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
124458605,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
124967811,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
125479296,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
125984322,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
126488320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
126999321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
127510320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
128011556,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
128512327,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
129022322,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
129524348,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
130033876,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
130538362,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
131040351,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
131541321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
132048320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
132558321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
133066324,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
133576410,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
134084319,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
134592320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
135101321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
135602490,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
136109613,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
136610958,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
137118423,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
137620352,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
138130370,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
138639320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
139146449,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
139655320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
140165320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
140668837,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
141175354,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
141679321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
142189354,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
142692470,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
143199352,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
143703230,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
144203321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
144708737,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
145216352,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
145723254,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
146223320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
146728325,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
147237320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
147738738,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
148240352,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
148743204,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
149251137,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
149761320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
150262956,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
150763345,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
151264319,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
151773321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
152281321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
152790363,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
153298885,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
153807320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
154315627,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
154824321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
155330831,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
155839533,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
156341322,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
156849319,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
157358437,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
157866361,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
158373320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
158880320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
159387351,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
159897321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
160404320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
160911847,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
161412320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
161921350,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
162427380,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
162935383,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
163443819,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
163952321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
164461323,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
164971658,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
165480321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
165986380,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
166496020,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
167002322,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
167508324,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
168008329,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
168511927,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
169020325,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
169526324,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
170036324,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
170542336,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
171052321,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
171560345,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
172066350,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
172566396,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
173076353,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
173585352,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
174091847,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
174599938,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
175101353,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
175603573,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
176110354,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
176611350,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
177111604,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
177621866,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
178123825,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
178634326,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
179140855,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
179651320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
180160611,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
180670320,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
181181322,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
181691387,41688325,0,42825308,44651176,270565420,270630924,270565423,3,2,1,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
