timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
108056948,800000.0,1.0,40582.914,0.0,46844,0,18645.047,20993,253,0,0,0,0.012051636,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109059450,800000.0,1.0,40628.273,0.0,47415,0,18611.773,21250,253,0,0,0,0.0119058825,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110059440,800000.0,1.0,40884.98,0.0,47986,0,18601.94,21506,253,0,0,0,0.0117641585,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111059535,800000.0,1.0,40963.074,0.0,48558,0,18619.762,21763,253,0,0,0,0.011625236,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112059482,800000.0,1.0,40442.59,0.0,49128,0,18412.96,22016,253,0,0,0,0.011491642,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113057257,800000.0,1.0,40732.03,0.0,49696,0,18493.576,22271,253,0,0,0,0.011360065,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114057363,800000.0,1.0,41049.453,0.0,50272,0,18465.568,22525,253,0,0,0,0.011231964,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
115057849,800000.0,1.0,40732.06,0.0,50841,0,18238.668,22775,253,0,0,0,0.011108672,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116059181,800000.0,1.0,40844.87,0.0,51414,0,18452.922,23030,253,0,0,0,0.010985671,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117058354,800000.0,1.0,40717.164,0.0,51984,0,18323.273,23284,253,0,0,0,0.010865831,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118059441,800000.0,1.0,40557.64,0.0,52555,0,18751.203,23542,253,0,0,0,0.01074675,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119062445,800000.0,1.0,40725.273,0.0,53126,0,18268.73,23794,253,0,0,0,0.010632933,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120062439,800000.0,1.0,40914.17,0.0,53701,0,18693.613,24052,253,0,0,0,0.010518876,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121062349,800000.0,1.0,40548.82,0.0,54268,0,18741.596,24310,253,0,0,0,0.01040724,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122067878,800000.0,1.0,41025.637,0.0,54848,0,18608.303,24568,253,0,0,0,0.0102979485,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123060013,800000.0,1.0,40139.4,0.0,55407,0,18471.447,24820,253,0,0,0,0.010193393,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124068071,800000.0,1.0,40630.45,0.0,55982,0,18601.809,25078,253,0,0,0,0.010088524,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
125065943,800000.0,1.0,40087.91,0.0,56542,0,18120.879,25328,253,0,0,0,0.009988945,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126062383,800000.0,1.0,41222.555,0.0,57117,0,18767.465,25586,253,0,0,0,0.009888221,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127056368,800000.0,1.0,41239.707,0.0,57689,0,18840.49,25843,253,0,0,0,0.009789885,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
128058467,800000.0,1.0,40432.48,0.0,58262,0,18723.652,26101,253,0,0,0,0.009693115,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129061710,800000.0,1.0,40529.0,0.0,58831,0,18681.617,26360,253,0,0,0,0.009597875,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130062494,800000.0,1.0,40546.453,0.0,59401,0,18491.877,26615,253,0,0,0,0.009505917,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131064439,800000.0,1.0,40582.246,0.0,59969,0,18430.115,26868,253,0,0,0,0.009416406,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132059405,800000.0,1.0,40855.074,0.0,60541,0,18698.54,27126,253,0,0,0,0.009326845,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133059334,800000.0,1.0,41039.83,0.0,61115,0,18802.63,27385,253,0,0,0,0.009238634,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134062207,800000.0,1.0,41263.71,0.0,61694,0,18769.844,27644,253,0,0,0,0.009152076,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
135058539,800000.0,1.0,40809.188,0.0,62263,0,18564.436,27899,253,0,0,0,0.009068426,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136060644,800000.0,1.0,41100.9,0.0,62840,0,18712.287,28157,253,0,0,0,0.008985332,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137062377,800000.0,1.0,40366.633,0.0,63405,0,18490.508,28412,253,0,0,0,0.008904688,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138060442,800000.0,1.0,40874.125,0.0,63978,0,18786.213,28669,253,0,0,0,0.0088248635,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139058628,800000.0,1.0,41493.016,0.0,64555,0,18472.057,28924,253,0,0,0,0.008747062,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140062776,800000.0,1.0,40293.027,0.0,65123,0,18470.508,29179,253,0,0,0,0.00867062,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141064796,800000.0,1.0,40535.016,0.0,65695,0,18573.842,29435,253,0,0,0,0.00859521,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142058481,800000.0,1.0,41205.098,0.0,66277,0,18795.92,29693,253,0,0,0,0.008520527,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143060064,800000.0,1.0,40840.77,0.0,66848,0,18620.875,29949,253,0,0,0,0.008447695,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144059385,800000.0,1.0,40176.605,0.0,67415,0,18398.184,30203,253,0,0,0,0.008376651,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145058470,800000.0,1.0,40176.605,0.0,67983,0,18398.184,30455,253,0,0,0,0.008307339,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146058789,800000.0,1.0,40538.56,0.0,68557,0,18314.719,30714,253,0,0,0,0.008237286,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146816094,800000.0,1.0,40885.055,0.0,68988,0,18757.77,30905,253,0,0,0,0.008186378,3,5,0,0,1,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147986659,800000.0,1.0,40613.633,0.0,69651,0,18369.74,31204,253,0,0,0,0.008107935,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148739447,800000.0,1.0,40333.637,0.0,70082,0,18664.572,31396,253,0,0,0,0.008058351,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150002992,800000.0,1.0,41010.43,0.0,70802,0,18428.94,31717,254,0,0,0,0.008008324,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151059895,800000.0,1.0,40661.016,0.0,71406,0,18752.742,31989,508,0,0,0,0.015880458,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152059115,800000.0,1.0,40738.78,0.0,71982,0,18468.555,32246,508,0,0,0,0.015753891,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153058906,800000.0,1.0,41020.55,0.0,72551,0,18623.2,32501,508,0,0,0,0.015630288,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154059309,800000.0,1.0,40596.285,0.0,73124,0,18488.182,32758,508,0,0,0,0.015507663,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155061480,800000.0,1.0,40997.37,0.0,73698,0,18714.736,33013,508,0,0,0,0.015387878,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156060485,800000.0,1.0,40850.094,0.0,74274,0,18471.06,33271,508,0,0,0,0.015268552,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157064383,800000.0,1.0,41187.848,0.0,74851,0,18768.477,33528,508,0,0,0,0.015151516,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158064384,800000.0,1.0,40996.88,0.0,75431,0,18564.379,33782,508,0,0,0,0.015037594,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159065450,800000.0,1.0,40998.484,0.0,76007,0,18360.322,34036,508,0,0,0,0.014925373,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160064431,800000.0,1.0,41104.33,0.0,76579,0,18507.797,34290,508,0,0,0,0.014814815,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161060450,800000.0,1.0,40894.855,0.0,77153,0,18434.484,34544,508,0,0,0,0.014705882,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162064505,800000.0,1.0,41030.395,0.0,77730,0,18474.508,34805,508,0,0,0,0.0145956045,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163059450,800000.0,1.0,41360.918,0.0,78301,0,18896.31,35059,508,0,0,0,0.01448986,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164061483,800000.0,1.0,40798.895,0.0,78877,0,18489.918,35315,508,0,0,0,0.014384822,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
165061448,800000.0,1.0,41076.457,0.0,79450,0,18580.492,35571,508,0,0,0,0.014281296,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
166072570,800000.0,1.0,41057.91,0.0,80030,0,18601.234,35828,508,0,0,0,0.014178854,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
167063537,800000.0,1.0,40834.07,0.0,80594,0,18401.234,36075,508,0,0,0,0.014081774,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
168064389,800000.0,1.0,40688.625,0.0,81173,0,18102.795,36333,508,0,0,0,0.01398178,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169063878,800000.0,1.0,41407.004,0.0,81746,0,18709.764,36592,508,0,0,0,0.013882816,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170060544,800000.0,1.0,41002.53,0.0,82320,0,18825.066,36847,508,0,0,0,0.01378674,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
171064448,800000.0,1.0,41124.242,0.0,82893,0,18543.43,37106,508,0,0,0,0.013690508,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172101594,800000.0,1.0,41031.008,0.0,83490,0,18770.236,37375,508,0,0,0,0.013591973,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
173060550,800000.0,1.0,41086.742,0.0,84041,0,18875.207,37620,508,0,0,0,0.013503456,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174061713,800000.0,1.0,40553.33,0.0,84622,0,18419.252,37876,508,0,0,0,0.013412187,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175063760,800000.0,1.0,40918.918,0.0,85193,0,18686.21,38134,508,0,0,0,0.013321445,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176064697,800000.0,1.0,40883.59,0.0,85767,0,18634.025,38394,508,0,0,0,0.013231234,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
176815965,800000.0,1.0,40834.06,0.0,86192,0,18850.404,38586,508,0,0,0,0.013165397,3,5,0,0,1,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178005827,800000.0,1.0,40572.082,0.0,86873,0,18808.395,38895,508,0,0,0,0.013060804,3,5,0,0,1,1,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
