timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
192831600,3.9986265,4.091806,25.0,1.0
193831608,2.6969128,2.7597742,25.0,1.0
194835788,1.6449078,1.683263,25.0,1.0
195831971,1.0011275,1.0244688,25.0,1.0
196831321,1.031877,1.0559021,25.0,1.0
197831637,0.9346129,0.9563341,25.0,1.0
198832131,0.8913773,0.91205776,25.0,1.0
199832260,0.9555747,0.97768164,25.0,1.0
200832073,0.9379963,0.9596519,25.0,1.0
201832169,0.91002285,0.93097085,25.0,1.0
202832150,0.9217729,0.94293994,25.0,1.0
203832168,0.9728597,0.99514765,25.0,1.0
204832214,0.9843794,1.0068789,25.0,1.0
205832079,1.026734,1.0501403,25.0,1.0
206831965,1.0449613,1.0687141,25.0,1.0
207832438,1.026642,1.0499132,25.0,1.0
208832165,0.9921053,1.0145195,25.0,1.0
209832621,0.9952009,1.0176362,25.0,1.0
210832371,0.95281494,0.97423524,25.0,1.0
211832813,0.90730894,0.9276542,25.0,1.0
212832442,0.8739613,0.8935227,25.0,1.0
213832449,0.80733943,0.82536733,25.0,1.0
214832567,0.7449637,0.7615607,25.0,1.0
215828597,0.74854666,0.7651768,25.0,1.0
216832542,0.7791847,0.7964724,25.0,1.0
217832176,0.7763241,0.79352313,25.0,1.0
218832902,0.77957743,0.7967979,25.0,1.0
219832333,0.82397956,0.8421436,25.0,1.0
220832830,0.86337596,0.8823707,25.0,1.0
221832802,0.86999947,0.88908756,25.0,1.0
222833032,0.9019702,0.92171633,25.0,1.0
223832865,0.9327872,0.9531498,25.0,1.0
224832714,0.9455373,0.9661236,25.0,1.0
225833228,0.9198946,0.93987155,25.0,1.0
226832938,0.9021217,0.921668,25.0,1.0
227832536,0.8786866,0.8976826,25.0,1.0
228832814,0.8152782,0.8328597,25.0,1.0
229828977,0.84931624,0.867591,25.0,1.0
230832817,0.851419,0.86969036,25.0,1.0
231833455,0.840281,0.85827804,25.0,1.0
232833235,0.81487846,0.832285,25.0,1.0
233825767,0.7666994,0.78303957,25.0,1.0
234833113,0.8021251,0.8191799,25.0,1.0
235833490,0.80470616,0.8217837,25.0,1.0
236833359,0.8116675,0.8288481,25.0,1.0
237833379,0.8117179,0.82886165,25.0,1.0
238833063,0.80567855,0.8226581,25.0,1.0
239833703,0.80894196,0.8259524,25.0,1.0
240829330,0.8006164,0.8174189,25.0,1.0
241833661,0.8130934,0.83011144,25.0,1.0
242833853,0.82575226,0.84299415,25.0,1.0
243833874,0.8286627,0.8459215,25.0,1.0
244829823,0.82070184,0.8377573,25.0,1.0
245834166,0.84006727,0.85748035,25.0,1.0
246833302,0.8428153,0.86024284,25.0,1.0
247829237,0.8951054,0.9135676,25.0,1.0
248833785,0.8835733,0.9017414,25.0,1.0
249833642,0.87546015,0.89341944,25.0,1.0
250833909,0.8433094,0.86058545,25.0,1.0
251829408,0.77799356,0.793878,25.0,1.0
252834263,0.7727761,0.7885237,25.0,1.0
253833931,0.76331156,0.77883,25.0,1.0
254825791,0.72561616,0.7403338,25.0,1.0
255830241,0.7273186,0.74203914,25.0,1.0
256834217,0.6910584,0.70501155,25.0,1.0
257834030,0.6253256,0.6379319,25.0,1.0
258830354,0.6819016,0.6956157,25.0,1.0
259834430,0.61615735,0.6285273,25.0,1.0
260833952,0.42890722,0.43750304,25.0,1.0
261830590,0.11917723,0.12156496,25.0,1.0
262830175,0.31611228,0.32244414,25.0,1.0
263834395,0.068533175,0.069905885,25.0,1.0
264802567,0.05139803,0.05242754,25.0,1.0
265830040,0.0031764135,0.0032400182,25.0,1.0
266830667,0.0014019698,0.0014300504,25.0,1.0
267834411,0.0039199097,0.0039983955,25.0,1.0
268830050,7.088209e-05,7.230158e-05,25.0,0.0
