timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
75669676,75667526,0.037583683,0.011665635,-1.2223077,-0.36920434,0.041791737,0.6799495,2.7152238,-0.15925217,-0.43234158,-0.51546955,-0.53490067,-0.10071516,0.27116102,0.18566066,0.070715964,-0.14152384,-0.3305148,0.0043160184,0.00034450044,0.99521923,2.4277751e-05,9.5938165e-05
76667938,76667080,-0.036389235,0.39693558,-1.2278335,-0.36974034,0.045370247,0.69153225,2.7336774,-0.21883392,-0.48187637,-0.5289593,-0.46953917,0.18037939,0.40787065,0.21148199,0.055693448,-0.18734843,-0.17916584,0.09000723,0.000571861,0.87560755,3.3983142e-05,0.03377932
77671668,77670804,0.24263856,2.4295049,-1.2239951,-0.36238196,0.054708663,0.70356333,2.7433033,-0.15972328,-0.42927933,-0.45864868,-0.3527894,0.40437937,0.44403756,0.17994416,-0.0047922134,-0.27280512,-0.15783685,0.1067287,0.00035312807,0.5448188,3.3438235e-05,0.34806588
78676008,78675036,0.39454305,1.8243067,-1.20028,-0.33509535,0.08151779,0.72699183,2.7531898,-0.13996124,-0.39939404,-0.41401958,-0.28173637,0.49949026,0.514993,0.2159062,0.021168053,-0.24796867,-0.07075614,0.009975,0.00017254686,0.6790378,0.00013368198,0.310681
79675728,79674869,0.33860967,1.6509076,-1.1990895,-0.33187914,0.08449307,0.7281697,2.7469645,-0.1150918,-0.38130283,-0.41671562,-0.33045816,0.38516855,0.44544244,0.20858103,0.036941648,-0.21732351,-0.15421903,0.0024593887,0.00010839831,0.7222523,0.00027397327,0.27490586
80672418,80671577,0.22381465,1.2864488,-1.2183713,-0.3478777,0.06806054,0.70862925,2.7149067,-0.033828735,-0.2846403,-0.3232317,-0.25566864,0.39189148,0.54309,0.3388815,0.1852074,-0.047153145,-0.023144946,0.00022595153,4.919168e-05,0.7953664,0.0008912698,0.20346719
81664554,81663762,0.13347219,0.15956289,-1.1678799,-0.29479754,0.11905175,0.7528047,2.741078,0.018620968,-0.21212626,-0.2564187,-0.21725893,0.33461285,0.39500204,0.23857057,0.110619195,-0.09125371,-0.12862247,1.4631211e-05,1.504362e-05,0.9729785,0.004371011,0.022620846
82665104,82664206,0.14323044,0.100106694,-1.1529093,-0.2800824,0.13335,0.76628315,2.7535627,0.06506395,-0.17324781,-0.2503395,-0.2831421,0.15443707,0.25126517,0.19755901,0.10739131,-0.06952697,-0.27771905,1.5908512e-05,1.6463127e-05,0.98148704,0.00463999,0.013840604
83668664,83667732,0.15301627,0.04339874,-1.1346574,-0.26423657,0.14852361,0.7812926,2.7731767,0.036513805,-0.15691662,-0.22082424,-0.2505169,0.101221085,0.201318,0.16172391,0.09012908,-0.052567348,-0.22846855,2.5398811e-05,2.1533726e-05,0.9914684,0.0029120974,0.0055726045
84668628,84667649,0.16233031,0.057380985,-1.12576,-0.25585976,0.15720011,0.7910319,2.7858322,-0.015620232,-0.16442823,-0.2022667,-0.19847965,0.12098026,0.18699434,0.11730817,0.04690945,-0.07457502,-0.14782289,4.9032024e-05,2.6633561e-05,0.98998857,0.0023293062,0.007606396
85664878,85664075,0.16827741,0.07717628,-1.1200083,-0.25113022,0.16226886,0.797526,2.7970748,-0.09812212,-0.22721863,-0.24704838,-0.21311569,0.11981726,0.103890955,-0.0014794767,-0.08014935,-0.19898261,-0.19089322,0.00012903268,3.6912916e-05,0.9877747,0.001608679,0.010450636
86672043,86671007,0.1788121,0.095880456,-1.1113366,-0.24217913,0.17141898,0.80696255,2.806434,-0.12522316,-0.22195673,-0.21028948,-0.122721195,0.23796701,0.24416673,0.07417166,-0.020298064,-0.13600765,0.014276594,0.00014049439,3.722466e-05,0.98502547,0.0016441667,0.013152678
87672413,87671485,0.19252782,0.07868782,-1.0969899,-0.2273108,0.18607542,0.82074386,2.8174534,-0.1599946,-0.25304127,-0.23529243,-0.1360197,0.23816729,0.22934815,0.043402374,-0.056083888,-0.17374648,0.005115837,8.052583e-05,3.0993717e-05,0.9871953,0.0020215975,0.010671596
88668638,88667352,0.20473284,0.026643682,-1.0790311,-0.21029179,0.2019674,0.83456975,2.8294132,-0.0754261,-0.15883636,-0.14518929,-0.06168604,0.2653165,0.22063181,0.06139061,-0.024763823,-0.12803912,0.019191146,3.5154102e-05,2.5855814e-05,0.9946917,0.002127206,0.0031200538
