timestamp,timestamp_sample,device_id,error_count,pressure,temperature
228845852,228845375,6620172,0,1004.7791,25.0
229845730,229845258,6620172,0,1004.9281,25.0
230846249,230845294,6620172,0,1004.94073,25.0
231845799,231845220,6620172,0,1005.0835,25.0
232845681,232845212,6620172,0,1005.21545,25.0
233845688,233845218,6620172,0,1005.3358,25.0
234845398,234844803,6620172,0,1005.4226,25.0
235845665,235845195,6620172,0,1005.4501,25.0
236845353,236844837,6620172,0,1005.55963,25.0
237845501,237845023,6620172,0,1005.6283,25.0
238846358,238845829,6620172,0,1005.7253,25.0
239846652,239845684,6620172,0,1005.8529,25.0
240845521,240845011,6620172,0,1005.93964,25.0
241846277,241845711,6620172,0,1006.07764,25.0
242842404,242841885,6620172,0,1006.11755,25.0
243845976,243845490,6620172,0,1006.21674,25.0
244846988,244845972,6620172,0,1006.37665,25.0
245847008,245845905,6620172,0,1006.45746,25.0
246845655,246845186,6620172,0,1006.5011,25.0
247845595,247845130,6620172,0,1006.60626,25.0
248845903,248845437,6620172,0,1006.74677,25.0
249843077,249841570,6620172,0,1006.7685,25.0
250842579,250842098,6620172,0,1006.94977,25.0
251846695,251846213,6620172,0,1007.11487,25.0
252846424,252845958,6620172,0,1007.1412,25.0
253846585,253846105,6620172,0,1007.2717,25.0
254846665,254846166,6620172,0,1007.3093,25.0
255847791,255846310,6620172,0,1007.40063,25.0
256842868,256842283,6620172,0,1007.5489,25.0
257846317,257845831,6620172,0,1007.6038,25.0
258846911,258846418,6620172,0,1007.58185,25.0
259846956,259846471,6620172,0,1007.6569,25.0
260843067,260841904,6620172,0,1007.8007,25.0
261847043,261846550,6620172,0,1007.7184,25.0
262846957,262846465,6620172,0,1007.768,25.0
263845218,263842840,6620172,0,1007.81006,25.0
264842940,264842454,6620172,0,1007.7984,25.0
265847174,265846686,6620172,0,1007.80835,25.0
266847258,266846730,6620172,0,1007.80096,25.0
267843013,267842543,6620172,0,1007.7761,25.0
268846636,268846160,6620172,0,1007.7945,25.0
