timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
141150433,inf,0,0,0,0,0,0,0,0,0,1
142154785,inf,0,0,0,0,0,0,0,0,1,1
143158594,inf,0,0,0,0,0,0,0,0,1,1
144168894,inf,0,0,0,0,0,0,0,0,1,1
145172564,inf,0,0,0,0,0,0,0,0,1,1
146174964,inf,0,0,0,0,0,0,0,0,1,1
147176206,inf,0,0,0,0,0,0,0,0,1,1
148183471,inf,0,0,0,0,0,0,0,0,1,1
149190859,inf,0,0,0,0,0,0,0,0,1,1
150195220,inf,0,0,0,0,0,0,0,0,1,1
151203200,inf,0,0,0,0,0,0,0,0,1,1
152203242,inf,0,0,0,0,0,0,0,0,1,1
153206696,inf,0,0,0,0,0,0,0,0,1,1
154206729,inf,0,0,0,0,0,0,0,0,1,1
155211249,inf,0,0,0,0,0,0,0,0,1,1
156219250,inf,0,0,0,0,0,0,0,0,1,1
157226819,inf,0,0,0,0,0,0,0,0,1,1
158234702,inf,0,0,0,0,0,0,0,0,1,1
159239240,inf,0,0,0,0,0,0,0,0,1,1
160247434,inf,0,0,0,0,0,0,0,0,1,1
161251692,inf,0,0,0,0,0,0,0,0,1,1
162259764,inf,0,0,0,0,0,0,0,0,1,1
163267038,inf,0,0,0,0,0,0,0,0,1,1
164271593,inf,0,0,0,0,0,0,0,0,1,1
165275554,inf,0,0,0,0,0,0,0,0,1,1
166283884,inf,0,0,0,0,0,0,0,0,1,1
167295953,inf,0,0,0,0,0,0,0,0,1,1
168299429,inf,0,0,0,0,0,0,0,0,1,1
169299592,inf,0,0,0,0,0,0,0,0,1,1
170299740,inf,0,0,0,0,0,0,0,0,1,1
171307831,inf,0,0,0,0,0,0,0,0,1,1
172317159,inf,0,0,0,0,0,0,0,0,1,1
173329503,inf,0,0,0,0,0,0,0,0,0,1
174340335,inf,0,0,0,0,0,0,0,0,0,1
175349118,inf,0,0,0,0,0,0,0,0,0,1
176355430,inf,0,0,0,0,0,0,0,0,1,1
177361384,inf,0,0,0,0,0,0,0,0,1,1
178361605,inf,0,0,0,0,0,0,0,0,1,1
179371850,inf,0,0,0,0,0,0,0,0,1,1
180375863,inf,0,0,0,0,0,0,0,0,1,1
181376264,inf,0,0,0,0,0,0,0,0,1,1
182380450,inf,0,0,0,0,0,0,0,0,1,1
183384396,inf,0,0,0,0,0,0,0,0,1,1
184392237,inf,0,0,0,0,0,0,0,0,1,1
