timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
59775441,59775412,0.60853595,8.050546e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59875562,59875533,0.60853595,8.06392e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
59975679,59975650,0.60853595,8.077404e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60075561,60075533,0.60853595,8.0908e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60171754,60171724,0.60853595,8.103206e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60272028,60271998,0.60853595,8.117953e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60375716,60375687,0.60853595,8.131071e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60471450,60471422,0.60853595,8.143372e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60576213,60576184,0.60853595,8.158079e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60675616,60675587,0.60853595,8.171311e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60771598,60771569,0.60853595,8.184874e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60871354,60871324,0.60853595,8.198181e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
60975528,60975500,0.60853595,8.211406e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61075377,61075348,0.60853595,8.22472e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61171387,61171354,0.60853595,8.238396e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61275403,61275374,0.60853595,8.251573e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61375643,61375609,0.60853595,8.264954e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61475112,61475083,0.60853595,8.279483e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61570892,61570863,0.60853595,8.291787e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61674922,61674890,0.60853595,8.309494e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61775021,61774988,0.60853595,8.324275e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61871145,61871112,0.60853595,8.341047e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
61980654,61980617,0.60853595,8.359711e-06,1.1722255,1.0030398,0.15221646,1.0005724,1
