timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
65164746,65155223,197388,0.2868703,-0.028083423,0.48009506,0
65663455,65654969,197388,0.26940265,-0.008897213,0.48189768,0
66171963,66160821,197388,0.3078367,-0.010650843,0.46754405,0
66671116,66662604,197388,0.2781102,-0.047371116,0.4431714,0
67159990,67149010,197388,0.28551593,-0.031422164,0.4618854,0
67671541,67660899,197388,0.2764581,-0.04476541,0.46791083,0
68159843,68148987,197388,0.28356332,-0.027691428,0.47814673,0
68667013,68658840,197388,0.28353664,-0.033758864,0.47195244,0
69175535,69166938,197388,0.28427723,-0.0074929707,0.48514086,0
69668036,69657117,197388,0.29936266,-0.02043105,0.4425505,0
70175431,70164929,197388,0.2801643,-0.005645089,0.50565946,0
70668358,70658813,197388,0.26836556,-0.0072849626,0.4765494,0
71167522,71157245,197388,0.26438835,-0.03331474,0.4644156,0
71659886,71649035,197388,0.27177584,-0.031645425,0.46891135,0
72167564,72158922,197388,0.3609605,-0.096196085,0.41974646,0
72671257,72661239,197388,0.39793345,-0.07157233,0.3508218,0
73160251,73151321,197388,0.41961914,-0.048258495,0.34819445,0
73663793,73655320,197388,0.40317652,-0.053802937,0.39379033,0
74171932,74163311,197388,0.31609136,-0.055844404,0.45244142,0
74655648,74645231,197388,0.34246358,-0.06984082,0.43742663,0
75171136,75161029,197388,0.32176185,-0.09469422,0.42433274,0
75651992,75643444,197388,0.3276279,-0.056074526,0.4360201,0
76163874,76153503,197388,0.33572066,-0.04365362,0.42521334,0
76668078,76657134,197388,0.31639448,-0.03820568,0.42195034,0
77168322,77157405,197388,0.32412136,-0.06483507,0.43898308,0
77667330,77657122,197388,0.2877475,-0.079119705,0.4427794,0
78168346,78157217,197388,0.2936867,-0.050251894,0.4610119,0
78664267,78655067,197388,0.31460336,-0.06450895,0.4447193,0
79159518,79149282,197388,0.31262398,-0.053426847,0.4350576,0
79664523,79655461,197388,0.33148205,-0.034491196,0.43977386,0
80176563,80167440,197388,0.31758592,-0.059744265,0.42832312,0
80664165,80654347,197388,0.33747232,-0.068566255,0.4565997,0
81156589,81145581,197388,0.31552732,-0.052602045,0.44663796,0
81668218,81659363,197388,0.31142545,-0.04795128,0.47903714,0
82168405,82157423,197388,0.31892085,-0.042417627,0.45145762,0
82671273,82661414,197388,0.33166787,-0.030419648,0.4412856,0
83176189,83165567,197388,0.3179626,-0.056775354,0.43446934,0
83652780,83643633,197388,0.32996735,-0.045837082,0.44680005,0
84175994,84165263,197388,0.302653,-0.047221016,0.43241584,0
84664214,84653709,197388,0.31509385,-0.046303995,0.42434853,0
85157094,85147534,197388,0.35726795,-0.08046714,0.42148,0
85665091,85653754,197388,0.34885114,-0.05601227,0.43137106,0
86171814,86161547,197388,0.32928175,-0.056745194,0.45059904,0
86667488,86657358,197388,0.32696593,-0.06934532,0.4615034,0
87157447,87148101,197388,0.326081,-0.03647175,0.4387374,0
87661038,87651687,197388,0.31290308,-0.034361057,0.44776756,0
88163642,88150203,197388,0.34290016,-0.0481327,0.4625315,0
88660292,88649770,197388,0.31306654,-0.054032084,0.46658784,0
89173198,89163481,197388,0.33842048,-0.02792562,0.44710708,0
89652292,89641910,197388,0.3106963,-0.049750414,0.43877947,0
90163993,90153886,197388,0.3245753,-0.053599924,0.46634898,0
90671966,90663541,197388,0.32276717,-0.053452015,0.43744302,0
91164201,91154305,197388,0.3277715,-0.035377707,0.46794444,0
91676583,91666076,197388,0.3287175,-0.044069894,0.44767612,0
92173167,92163971,197388,0.33201313,-0.06313133,0.42667317,0
92676544,92665637,197388,0.33055407,-0.054012813,0.47328243,0
93159930,93149509,197388,0.31811246,-0.0461518,0.44027218,0
93656956,93648070,197388,0.33053866,-0.04002483,0.46144652,0
94168535,94158103,197388,0.31763333,-0.06495103,0.45972997,0
94668566,94656552,197388,0.33892664,-0.060273167,0.44918147,0
95176501,95164710,197388,0.32983145,-0.04530066,0.48245344,0
95668620,95658153,197388,0.3302735,-0.04988245,0.4364462,0
96160417,96149980,197388,0.29248604,-0.05605784,0.47546503,0
96665006,96654164,197388,0.23855472,-0.050580077,0.49956736,0
