timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
71212129,-0.039000746,0.01650379,-0.011585887,0.0,0.99976,-0.019450352,0.008363047,-0.005630712,0.0,0.0,-0.6050023,0,0,0,0,0
71251590,-0.041655496,0.018171132,-0.011585887,0.0,0.9997262,-0.020772414,0.009203958,-0.0056022033,0.0,0.0,-0.6045244,0,0,0,0,0
71307353,-0.039793912,0.016836382,-0.0115858875,0.0,0.99975085,-0.01984585,0.008531534,-0.0056240796,0.0,0.0,-0.60317,0,0,0,0,0
71356119,-0.04166393,0.013857582,-0.011585887,0.0,0.9997431,-0.020789482,0.007047782,-0.0056471885,0.0,0.0,-0.60366815,0,0,0,0,0
71407935,-0.039776217,0.016218482,-0.0115858875,0.0,0.9997535,-0.019838845,0.008222612,-0.005630313,0.0,0.0,-0.6035435,0,0,0,0,0
71452020,-0.039840568,0.01560375,-0.011585886,0.0,0.99975526,-0.01987284,0.007915503,-0.005636185,0.0,0.0,-0.6026296,0,0,0,0,0
71508131,-0.042938665,0.016894517,-0.011585887,0.0,0.9997181,-0.021417636,0.008569426,-0.005610032,0.0,0.0,-0.602002,0,0,0,0,0
71555855,-0.04319987,0.014202095,-0.011585887,0.0,0.99972564,-0.021556225,0.007224325,-0.005638047,0.0,0.0,-0.6011878,0,0,0,0,0
71604069,-0.046779826,0.014223169,-0.011585887,0.0,0.99968535,-0.02334561,0.0072449395,-0.0056248596,0.0,0.0,-0.6028192,0,0,0,0,0
71655764,-0.03901108,0.007976348,0.013488737,0.7853982,0.99977857,-0.0195306,0.0038557719,0.0068207653,0.0,0.0,-0.5997315,0,0,0,0,0
71704076,-0.025710393,-0.008253417,0.04515128,0.7853981,0.99965525,-0.01275831,-0.0044154837,0.022518627,0.0,0.0,-0.5933547,0,0,0,0,0
