timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
32909692,32909025,1310988,-0.004395007,-0.0055914745,2.7694614e-05,0.34906584,2.425062e-06,2.4249264e-06,1.5244847e-06,1310988,0.0,0.0,0.041184876,0.4,0.00039942205,0.00039942205,0.00028545165,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
32970534,32969878,1310988,-0.004130168,-0.0058648046,2.8472357e-05,0.34906584,1.960152e-06,1.9600184e-06,1.4903762e-06,1310988,0.0,0.0,0.042258136,0.4,0.00040254765,0.00040254765,0.00028673667,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33083186,33082513,1310988,-0.00411777,-0.0058496655,2.839517e-05,0.34906584,1.9548618e-06,1.9547342e-06,1.4068163e-06,1310988,0.0,0.0,0.04337694,0.4,0.00040146263,0.00040146263,0.00028385725,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33174660,33174000,1310988,-0.003856769,-0.00610641,2.8846522e-05,0.34906584,1.5791262e-06,1.5790051e-06,1.3451536e-06,1310988,0.0,0.0,0.04518083,0.4,0.0004032066,0.0004032066,0.00028268553,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33378322,33377677,1310988,-0.003627967,-0.0063169003,2.9012464e-05,0.34906584,1.321933e-06,1.3218219e-06,1.2948682e-06,1310988,0.0,0.0,0.04671402,0.4,0.00040347374,0.00040347374,0.00028015987,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33442381,33441645,1310988,-0.0034733533,-0.0060541662,2.429615e-05,0.34906584,1.266584e-06,1.2664794e-06,1.2406272e-06,1310988,0.0,0.0,0.04555802,0.4,0.00038657905,0.00038657905,0.00026704927,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33610009,33609448,1310988,-0.0032175072,-0.0065164133,5.285465e-05,0.34906584,1.0606034e-06,1.0605078e-06,1.2684967e-06,1310988,0.0,0.0,0.046589814,0.4,0.00039533112,0.00039533112,0.00027309527,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
33806192,33805554,1310988,-0.0029648151,-0.0069608414,5.3300155e-05,0.34906584,8.959861e-07,8.9589986e-07,1.2940889e-06,1310988,0.0,0.0,0.04761416,0.4,0.0004036899,0.0004036899,0.00027886813,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
34105796,34105224,1310988,-0.0027238366,-0.0073450087,0.000109308705,0.34906584,7.755193e-07,7.754418e-07,1.3127446e-06,1310988,0.0,0.0,0.048685372,0.4,0.0004108706,0.0004108706,0.0002837969,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
34782062,34781377,1310988,-0.0018399893,-0.0080368,0.00027134558,0.34906584,5.5127117e-07,5.51216e-07,1.2899282e-06,1310988,0.0,0.0,0.049581505,0.4,0.0004115109,0.0004115109,0.00028302972,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
