timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
68550486,68550306,1310988,1310988,-0.00025845776,-0.00026735422,9.457976e-05,-0.0001276008,0.0004242116,-0.031514563,3908,3583,0,0
69050526,69050349,1310988,1310988,0.0009694795,0.0011173915,-0.0002031118,-0.000119574004,-0.0003070034,-0.035676453,7750,4044,0,0
69550705,69550520,1310988,1310988,0.0003501636,-0.00016403681,-0.00044064602,-0.0017879809,0.0003239623,-0.03730296,3986,3978,0,0
70047347,70047168,1310988,1310988,0.0005662253,0.00015357549,-3.1224045e-06,-0.0012531789,0.0014006147,-0.039129734,3870,4129,0,0
70551363,70551187,1310988,1310988,0.00022550745,-0.0003700232,0.00024455768,-0.0009282902,-8.143226e-05,-0.03581183,4133,3841,0,0
71051033,71050859,1310988,1310988,8.091265e-05,-0.0002868489,3.6601206e-05,-0.0011438477,-0.00012837542,-0.038182396,4017,3962,0,0
71551054,71550873,1310988,1310988,0.0004981841,-0.00016375523,0.00028911416,-0.003131338,0.0008557426,-0.08279015,3929,8552,0,0
72051289,72051112,1310988,1310988,-0.00034786243,-0.0021767258,0.0014107282,-0.00052097125,-0.00010765327,-0.036473848,4004,3853,0,0
72551347,72551171,1310988,1310988,0.00018678051,-0.0008856319,-0.0007280607,-0.0015213279,-0.00079180195,-0.036539607,3963,3834,0,0
73050966,73050791,1310988,1310988,0.00015726598,-0.00057072,0.00010888027,-0.0010988014,-0.0008631046,-0.03581079,4188,3518,0,0
73551048,73550870,1310988,1310988,0.00014853105,0.0014424105,0.00022225645,-0.0038572587,-0.00066504686,-0.038904943,3972,4011,0,0
74050752,74050573,1310988,1310988,9.589481e-05,0.0011919627,3.2933516e-05,-0.004211779,0.00029469864,-0.037302032,3452,4063,0,0
74551517,74551342,1310988,1310988,-0.00020476362,-4.7619007e-05,-0.00025139932,-0.003987976,0.0005049873,-0.038723312,3994,4006,0,0
75051542,75051366,1310988,1310988,0.0002741975,-0.00030502366,-0.00010037788,-0.005473193,4.274005e-05,-0.039581534,4084,4000,0,0
75551265,75551087,1310988,1310988,0.00045582757,-0.0004520303,0.00022189216,-0.0044542947,0.001005612,-0.037135936,3962,3921,0,0
76051354,76051177,1310988,1310988,-0.000683944,-0.00048560408,0.00023462278,-0.00356205,-0.00031941722,-0.0401663,4025,4011,0,0
76551773,76551591,1310988,1310988,-0.00010927722,8.1292106e-05,-8.825661e-05,-0.006258007,0.001041454,-0.047150295,4050,4870,0,0
77047533,77047358,1310988,1310988,-0.00033203512,0.00022185789,-0.00016966136,-0.0052254098,2.9101166e-05,-0.039293695,3852,4067,0,0
77551306,77551130,1310988,1310988,0.0006417021,-0.00014476368,-0.00021608702,-0.0036313632,0.00026754205,-0.036552716,4018,3772,0,0
78051704,78051522,1310988,1310988,-6.4569824e-05,0.00032467017,9.338943e-05,-0.004647815,-4.7746693e-05,-0.038655534,4167,3777,0,0
78551707,78551520,1310988,1310988,-0.00011495864,3.6340247e-05,0.00016936797,-0.00588652,-1.6375127e-06,-0.041558664,4120,4324,0,0
79051689,79051508,1310988,1310988,0.00028214286,-0.0001507986,-2.9744118e-05,-0.00401941,0.00045059083,-0.039236903,4087,3846,0,0
79551571,79551391,1310988,1310988,-0.00041758615,0.0005317604,7.784453e-05,-0.0048741098,0.00093909976,-0.03722119,4121,3882,0,0
80051683,80051499,1310988,1310988,-9.5619296e-05,0.00051188626,0.00020443238,-0.003558944,0.00030224817,-0.036207423,4112,3768,0,0
80547675,80547494,1310988,1310988,-0.0019155038,0.00041159047,0.0009094642,-0.0045803483,-0.00087268517,-0.039054707,3852,4170,0,0
81047864,81047691,1310988,1310988,0.0008648374,-8.959481e-05,-0.00016264811,-0.005021871,-0.00088280486,-0.037439715,4130,3846,0,0
81551348,81551169,1310988,1310988,-0.0005812969,0.00018864647,-0.000121363715,-0.0042756787,0.00075930817,-0.037994694,4030,4023,0,0
82051829,82051653,1310988,1310988,0.00027946293,-2.5085625e-05,0.00047845434,-0.0031062167,0.00030230347,-0.03694714,4184,3947,0,0
82551675,82551495,1310988,1310988,9.868821e-05,-0.0004775834,5.4172004e-05,-0.0035542613,0.0006207193,-0.0392051,4072,3915,0,0
